id,age,income,tenure,district,profit_99,online_99,billpay_99,profit_00,online_00,billpay_00
59,4,9,15.08,1200,-27,0,0,-27,0,0
60,5,7,32.08,1200,6,0,0,-26,0,0
61,3,6,6.91,1200,-13,0,0,733,0,0
62,,,1.25,1300,-43,0,0,,,
63,,,0.41,1200,362,0,0,231,0,0
64,,,8.41,1200,7,0,0,-9,0,0
65,3,1,3.75,1100,-67,0,0,-105,0,0
66,4,6,2.83,1200,-34,0,0,,,
67,,,3.33,1300,191,1,0,,,
68,,,5.41,1200,-30,0,0,-31,0,0
69,7,3,15.08,1200,277,0,0,54,0,0
70,,,1.25,1300,4,0,0,21,0,0
71,5,8,6.75,1200,16,1,0,64,1,0
72,4,9,10.25,1200,703,1,0,156,1,1
73,3,6,7.66,1200,-36,0,0,82,1,0
74,6,9,29.41,1200,238,1,0,249,1,0
75,,,4.16,1200,-47,0,0,14,0,0
76,7,3,2.5,1300,220,0,0,-19,0,0
77,4,6,11.66,1100,-213,0,0,-143,1,0
78,4,6,6.16,1100,-41,0,0,0,0,0
79,4,6,3.91,1200,253,0,0,121,0,0
80,1,1,6.41,1200,-29,0,0,-2,0,0
81,5,9,2.58,1200,-126,0,0,-40,0,0
82,,,7.75,1200,-38,0,0,,,
83,2,5,5.16,1200,83,0,0,408,1,0
84,3,6,4.66,1200,73,0,0,99,0,0
85,3,8,1.5,1200,-5,0,0,9,1,1
86,3,7,7.08,1200,380,0,0,212,0,0
87,6,1,34.5,1200,-56,0,0,95,0,0
88,5,9,11.08,1200,51,0,0,64,0,0
89,6,7,4.58,1200,56,0,0,22,0,0
90,2,7,3.75,1200,-90,1,0,-4,1,0
91,7,6,10.08,1100,-69,0,0,-71,0,0
92,6,6,6.5,1200,-131,1,1,-58,1,0
93,7,9,33.5,1200,-141,0,0,10,0,0
94,4,6,10.25,1300,-48,0,0,-63,0,0
95,4,6,8.83,1200,-66,0,0,39,0,0
96,4,1,5.5,1300,-6,0,0,236,1,1
97,,,5.08,1200,-65,0,0,-29,0,0
98,4,9,21.41,1200,318,0,0,327,0,0
99,4,4,10.66,1200,768,0,0,725,0,0
100,,,5.91,1200,-24,0,0,-17,0,0
101,2,4,7.5,1200,19,0,0,,,
102,3,6,6.75,1100,208,0,0,44,0,0
103,5,7,6.83,1200,-83,0,0,,,
104,,,24,1200,36,0,0,47,0,0
105,7,3,20.58,1100,295,0,0,61,0,0
106,,,2,1200,10,0,0,,,
107,4,3,5.58,1200,46,0,0,506,0,0
108,,,12.66,1200,671,0,0,262,0,0
109,4,8,21.08,1200,56,0,0,113,0,0
110,5,9,20.83,1200,865,0,0,811,0,0
111,3,1,4.16,1200,-29,0,0,-99,0,0
112,,,3.5,1300,13,0,0,,,
113,2,4,9.41,1200,218,0,0,8,1,0
114,,,7.58,1200,94,0,0,,,
115,7,1,1.91,1200,-82,0,0,-58,0,0
116,3,1,3.75,1200,-134,0,0,,,
117,5,7,4.58,1200,-2,0,0,-2,0,0
118,3,2,6.41,1300,-3,0,0,8,0,0
119,3,6,7.5,1200,-45,0,0,-5,0,0
120,2,7,4.41,1200,-191,1,1,-74,1,1
121,5,6,6.75,1200,66,0,0,53,0,0
122,,,8.16,1200,47,0,0,136,0,0
123,,,6.5,1200,10,0,0,180,0,0
124,,,5.41,1200,0,0,0,-21,0,0
125,6,7,41.16,1200,396,0,0,450,0,0
126,1,2,13.91,1200,53,0,0,75,0,0
127,3,6,2.75,1200,96,0,0,124,0,0
128,4,9,14.25,1200,-25,0,0,-19,0,0
129,3,3,1.91,1200,-27,1,0,-29,1,0
130,4,7,17.5,1200,301,0,0,378,0,0
131,7,4,37.41,1300,475,0,0,397,0,0
132,,,3.16,1200,-7,0,0,,,
133,4,4,22.25,1100,121,0,0,34,0,0
134,,,5.33,1300,175,0,0,,,
135,4,6,9.25,1200,32,0,0,268,1,0
136,3,6,4.5,1200,-6,0,0,-32,0,0
137,,,6.08,1200,110,0,0,,,
138,4,6,4.08,1200,-54,0,0,38,0,0
139,2,6,10.08,1200,-118,0,0,-114,0,0
140,2,,1.33,1200,13,0,0,,,
141,3,6,8.91,1200,284,1,0,196,1,0
142,3,8,5.91,1300,79,0,0,,,
143,,,1.5,1300,-20,0,0,,,
144,,,3,1200,-91,0,0,-112,0,0
145,,,8.25,1200,52,0,0,51,0,0
146,,,10.16,1200,198,0,0,88,0,0
147,2,9,3.66,1200,565,1,0,1198,1,0
148,5,6,26.75,1200,23,0,0,167,0,0
149,3,7,5.91,1200,-60,0,0,-60,0,0
150,,,11.58,1300,-33,0,0,-34,0,0
151,,,1,1200,-9,0,0,,,
152,,,4.41,1200,-19,0,0,,,
153,6,3,25.83,1200,439,0,0,640,0,0
154,6,6,30.08,1200,167,0,0,238,0,0
155,6,3,2.16,1200,-63,0,0,-64,0,0
156,6,6,5.41,1200,-25,0,0,-29,0,0
157,,,6.16,1200,338,0,0,,,
158,4,6,7,1200,78,0,0,109,0,0
159,2,5,4,1300,459,0,0,394,0,0
160,,,11.25,1300,-52,0,0,-69,0,0
161,,,2.75,1200,136,0,0,-28,1,0
162,3,7,7.08,1200,16,0,0,,,
163,,7,9.08,1200,-68,0,0,-36,1,0
164,,,7.91,1200,441,0,0,,,
165,7,6,14.33,1200,263,0,0,119,0,0
166,5,5,3.58,1200,-59,0,0,-55,0,0
167,3,5,1,1200,69,0,0,28,0,0
168,3,8,4.25,1200,-25,0,0,-26,0,0
169,4,9,15.41,1200,639,0,0,221,1,0
170,3,6,13.58,1200,896,0,0,678,0,0
171,,,3.66,1200,-58,0,0,,,
172,2,6,5.16,1200,642,0,0,379,1,1
173,5,1,20.41,1100,-37,0,0,129,0,0
174,,,3.75,1200,-28,0,0,,,
175,,,29.25,1100,136,0,0,,,
176,4,1,5.08,1300,49,0,0,162,0,0
177,,,0.16,1200,10,0,0,,,
178,,,13.83,1200,-120,1,0,75,1,0
179,,2,7.08,1200,-80,0,0,-62,0,0
180,7,3,26.41,1200,498,1,0,365,1,0
181,3,6,0.75,1200,402,0,0,394,0,0
182,5,5,3.75,1200,439,0,0,,,
183,7,3,2.33,1200,308,0,0,205,0,0
184,5,5,10.5,1200,0,0,0,-30,0,0
185,3,7,1.41,1200,-19,1,0,-83,1,0
186,,,19.5,1200,283,1,0,403,1,0
187,2,7,10.08,1200,92,0,0,88,0,0
188,4,5,21.41,1200,14,0,0,38,0,0
189,7,2,8.91,1200,177,0,0,210,0,0
190,2,9,5.08,1200,14,0,0,-82,0,0
191,3,6,3.66,1200,-40,1,0,,,
192,3,8,5,1200,216,0,0,2726,1,0
193,,,4.5,1100,-107,0,0,-133,0,0
194,2,6,6.58,1300,-37,0,0,3,0,0
195,3,1,2.41,1200,33,0,0,7,0,0
196,,,17.66,1200,22,0,0,252,0,0
197,4,7,9.75,1200,-65,0,0,-72,0,0
198,4,5,13.16,1300,-17,1,0,34,1,0
199,,,4.33,1200,-26,0,0,,,
200,2,8,4.91,1200,126,0,0,168,0,0
201,4,6,14.91,1200,382,0,0,368,0,0
202,5,3,22.5,1100,5,0,0,-3,0,0
203,2,6,7.75,1200,-88,0,0,-171,0,0
204,7,2,15.16,1200,204,0,0,337,0,0
205,5,5,5,1200,170,0,0,81,0,0
206,5,4,20.58,1200,-24,0,0,-9,0,0
207,,,2.91,1300,-24,0,0,,,
208,5,9,30.08,1200,273,0,0,315,0,0
209,4,6,3.5,1200,404,0,0,278,0,0
210,4,6,4.5,1300,-10,1,0,447,1,0
211,7,1,18.16,1200,98,0,0,111,0,0
212,3,7,1.91,1300,11,0,0,131,0,0
213,7,9,27.25,1200,-17,0,0,-36,0,0
214,1,7,2.75,1100,1,0,0,,,
215,4,6,11.08,1200,-179,1,0,-189,1,0
216,,,4.91,1200,0,1,0,-24,1,0
217,2,1,5.16,1200,-33,0,0,,,
218,4,3,18.25,1200,746,1,0,799,0,0
219,,,13.66,1200,175,0,0,13,1,0
220,2,6,5.75,1200,-110,0,0,-98,0,0
221,7,6,22.08,1200,7,0,0,86,0,0
222,7,1,16.16,1200,259,0,0,293,0,0
223,,,5.33,1200,44,0,0,47,0,0
224,4,5,25.33,1200,160,0,0,,,
225,,,16.58,1200,246,0,0,,,
226,7,5,8.25,1200,73,0,0,164,0,0
227,3,4,4.58,1200,-78,0,0,-37,0,0
228,4,6,4.16,1200,177,0,0,62,0,0
229,,,4.5,1100,13,0,0,-23,0,0
230,,,12,1200,-1,0,0,83,0,0
231,,,4.66,1200,401,0,0,215,1,0
232,4,6,5.25,1200,335,0,0,315,0,0
233,,,9.16,1200,-109,0,0,,,
234,6,4,26.91,1200,1088,0,0,1162,0,0
235,2,,5.08,1200,-30,1,0,-29,1,0
236,4,6,15.33,1200,-10,0,0,0,0,0
237,7,7,9,1300,400,0,0,402,0,0
238,2,3,11.41,1200,285,0,0,143,0,0
239,,,4.41,1300,165,0,0,,,
240,3,,2.25,1200,128,0,0,395,0,0
241,2,6,0.5,1200,-27,1,0,,,
242,3,7,1.5,1200,-48,0,0,-7,0,0
243,4,9,21.83,1200,1517,0,0,1470,0,0
244,7,3,9.75,1200,-59,0,0,-40,0,0
245,,,8.5,1200,76,0,0,186,0,0
246,,,2.08,1200,-19,0,0,-19,0,0
247,,,4.08,1200,10,0,0,-7,0,0
248,3,5,11.25,1200,45,0,0,,,
249,5,6,26.33,1200,157,1,0,161,1,0
250,5,6,0.83,1200,563,0,0,829,0,0
251,4,9,17.75,1200,-95,0,0,43,0,0
252,7,4,11.41,1200,-69,0,0,-69,0,0
253,,,3.41,1200,-16,0,0,,,
254,4,9,19.66,1200,-97,0,0,-10,0,0
255,5,1,18.33,1200,721,0,0,,,
256,2,1,0.66,1200,-24,0,0,-47,0,0
257,7,3,0.58,1200,-16,0,0,13,0,0
258,6,3,1.58,1300,-76,0,0,10,0,0
259,,,4,1200,-50,0,0,,,
260,,,2.25,1200,-36,0,0,,,
261,7,2,0.16,1200,417,0,0,416,0,0
262,,,17.08,1100,-184,0,0,-53,0,0
263,2,6,6.25,1300,75,0,0,-28,0,0
264,,,7,1200,135,0,0,96,0,0
265,3,4,6.25,1200,206,0,0,,,
266,4,8,5.08,1300,-15,0,0,-26,0,0
267,,8,18.5,1200,109,0,0,90,0,0
268,5,8,5.25,1200,59,0,0,69,0,0
269,3,9,13.5,1200,-34,0,0,-73,0,0
270,1,,2.75,1300,-32,0,0,-39,0,0
271,,,18.33,1300,95,0,0,164,0,0
272,4,4,27.08,1200,609,0,0,629,0,0
273,4,6,1.75,1200,-7,0,0,-24,0,0
274,4,6,13.33,1200,-211,0,0,45,0,0
275,1,4,2.5,1100,-150,0,0,-32,0,0
276,,,1.66,1200,-9,0,0,,,
277,5,4,29.66,1200,92,0,0,14,0,0
278,5,8,21.41,1200,193,0,0,103,0,0
279,7,9,3.25,1200,367,0,0,227,0,0
280,7,6,10.66,1200,244,0,0,28,0,0
281,4,4,7.08,1200,-111,0,0,-84,0,0
282,2,2,7.25,1200,-3,0,0,80,1,0
283,2,1,5.41,1100,245,0,0,187,0,0
284,2,1,4.25,1200,-15,0,0,,,
285,7,1,30.91,1300,-76,0,0,-68,0,0
286,4,9,5.58,1200,490,1,1,532,1,1
287,,,5.66,1300,-2,0,0,-21,0,0
288,,,13.41,1200,-27,0,0,,,
289,6,6,9.83,1200,19,0,0,154,0,0
290,,,3.5,1200,326,0,0,-80,0,0
291,7,6,6.5,1200,117,0,0,1611,0,0
292,7,3,10.58,1200,755,0,0,1363,0,0
293,2,1,14.91,1200,0,0,0,6,0,0
294,,,1.58,1200,23,0,0,-18,0,0
295,6,8,9,1200,-60,0,0,-60,0,0
296,,,1.08,1200,15,0,0,,,
297,5,5,5.16,1200,-23,0,0,11,0,0
298,4,3,18.16,1200,-26,0,0,73,0,0
299,1,6,11,1200,24,1,0,13,0,0
300,3,6,9.83,1200,-16,1,0,,,
301,2,9,4.16,1300,184,0,0,71,0,0
302,3,8,21.08,1200,321,1,0,396,1,0
303,3,5,9.66,1100,-8,0,0,-70,0,0
304,,,3.66,1200,-40,0,0,-43,0,0
305,4,9,24.75,1200,-127,0,0,-282,1,0
306,6,3,26.58,1200,125,0,0,174,0,0
307,3,5,6.08,1300,84,0,0,47,0,0
308,7,6,3.83,1200,-29,0,0,,,
309,2,2,4.16,1200,-37,0,0,10,0,0
310,4,6,12.91,1200,-94,1,0,36,1,0
311,4,6,23.66,1200,63,0,0,-32,0,0
312,,,2.33,1200,15,0,0,14,0,0
313,,3,4.33,1200,-34,0,0,-34,0,0
314,6,3,26.83,1200,49,0,0,-52,0,0
315,5,7,35.08,1200,24,0,0,123,0,0
316,3,9,5.66,1200,672,0,0,17,0,0
317,,,3.41,1200,-25,0,0,-19,0,0
318,4,6,6.58,1200,135,0,0,1337,1,0
319,4,8,24.91,1200,-38,0,0,-53,0,0
320,,,21.16,1200,4,0,0,,,
321,,,17,1200,-33,0,0,,,
322,,,24.08,1200,-40,0,0,,,
323,3,8,4.66,1300,107,0,0,48,0,0
324,,,16.5,1200,89,1,0,,,
325,,,5.58,1200,-25,0,0,,,
326,,,12.91,1200,-84,0,0,,,
327,2,6,1.58,1200,35,0,0,69,0,0
328,,,2.58,1300,-22,0,0,,,
329,7,9,11.08,1100,-25,0,0,-32,0,0
330,,,10.41,1300,80,0,0,178,0,0
331,4,2,7.16,1100,254,0,0,23,0,0
332,4,9,16.16,1200,460,1,0,355,1,0
333,4,6,7,1200,12,0,0,-62,0,0
334,,,0.5,1200,73,0,0,114,0,0
335,3,1,3.83,1100,92,0,0,128,0,0
336,3,6,5.16,1200,-48,0,0,1,0,0
337,4,9,5.16,1200,551,0,0,229,1,0
338,4,4,6.58,1100,-22,0,0,-22,0,0
339,2,8,8.33,1200,292,0,0,252,0,0
340,4,6,6.5,1200,-24,0,0,-210,0,0
341,5,7,4.91,1200,-9,0,0,-13,0,0
342,,,16.58,1200,151,0,0,144,0,0
343,,,7.66,1200,-65,0,0,-80,0,0
344,7,5,12.16,1200,-25,0,0,-24,0,0
345,,,4.91,1200,-47,0,0,-22,0,0
346,1,1,0.83,1300,237,0,0,153,0,0
347,4,6,4.16,1200,-26,1,0,,,
348,3,4,1.58,1200,-45,0,0,-20,0,0
349,,,27.83,1200,-5,0,0,-19,0,0
350,2,9,4.75,1200,372,0,0,530,0,0
351,4,9,2.41,1200,686,0,0,847,1,0
352,4,6,14.08,1200,-120,0,0,45,0,0
353,3,7,2.41,1200,479,0,0,377,0,0
354,,,1.5,1300,29,0,0,133,1,0
355,7,9,1.66,1200,-40,0,0,6,0,0
356,2,4,4.91,1200,-95,0,0,-141,1,0
357,5,3,18.58,1200,-61,0,0,-61,0,0
358,4,9,32.5,1200,-103,0,0,20,0,0
359,3,8,7.91,1300,48,0,0,48,0,0
360,,,4.58,1200,1276,1,0,202,1,0
361,,,15.5,1200,-165,0,0,-166,1,0
362,5,5,21.91,1200,1003,1,0,1405,0,0
363,3,3,4.33,1200,-20,0,0,-17,0,0
364,3,9,17.08,1200,272,0,0,301,0,0
365,4,7,27.25,1200,378,0,0,194,0,0
366,,,1.58,1300,-37,0,0,-34,0,0
367,4,6,0.5,1200,-31,0,0,-38,0,0
368,3,3,6.66,1100,-61,0,0,-128,0,0
369,6,6,0.5,1200,-33,0,0,-31,0,0
370,3,3,1.5,1200,-37,0,0,-64,0,0
371,5,9,9.83,1200,572,0,0,722,0,0
372,3,7,5.41,1200,112,0,0,,,
373,5,7,5.5,1200,-35,1,0,-1,0,0
374,,,10.83,1200,1227,0,0,,,
375,,,23.25,1300,-133,0,0,,,
376,3,7,17.5,1200,210,1,0,589,0,0
377,4,7,10.75,1200,195,0,0,198,0,0
378,,,12.5,1200,-36,0,0,-35,0,0
379,1,,4.16,1300,1,0,0,-9,0,0
380,,,10.41,1200,51,0,0,-95,0,0
381,,,40.66,1200,1052,0,0,104,0,0
382,5,6,18.58,1200,-41,0,0,-66,0,0
383,4,5,13.5,1200,1,0,0,,,
384,4,9,13.66,1200,210,0,0,265,0,0
385,3,5,5.58,1200,152,1,0,269,1,0
386,7,6,11.58,1200,223,0,0,102,0,0
387,2,9,5.91,1200,404,1,0,596,1,0
388,4,6,3.41,1300,-95,0,0,89,0,0
389,,,12.41,1300,161,0,0,175,0,0
390,4,4,18.41,1300,-181,0,0,-23,0,0
391,2,6,6.91,1300,486,0,0,134,0,0
392,2,6,7.33,1200,-6,1,1,-15,1,1
393,3,8,13.91,1200,-202,0,0,-226,0,0
394,2,3,3.58,1200,-30,0,0,-19,0,0
395,3,6,4.83,1200,295,0,0,164,0,0
396,4,6,2.58,1200,-24,0,0,374,0,0
397,7,4,7.25,1100,41,0,0,41,0,0
398,4,7,29.33,1200,-149,1,0,-146,1,0
399,,,27.41,1100,-131,0,0,,,
400,7,4,2.83,1300,416,0,0,602,0,0
401,,,3.83,1200,-43,1,0,-50,1,1
402,4,5,9.66,1200,430,0,0,39,0,0
403,3,5,7.41,1100,-149,0,0,41,0,0
404,4,4,8.16,1200,48,0,0,-7,1,1
405,7,3,7.41,1200,-6,0,0,10,0,0
406,4,6,4.75,1100,-51,0,0,-42,0,0
407,,,4.33,1200,-29,0,0,,,
408,4,6,21.08,1200,3,0,0,-83,0,0
409,4,4,22.33,1300,-52,0,0,11,0,0
410,5,7,17.5,1200,163,0,0,152,0,0
411,3,6,19.33,1200,-20,0,0,-94,0,0
412,5,3,10.5,1200,153,0,0,391,0,0
413,,,9.83,1200,-49,0,0,-31,0,0
414,,,12.08,1200,223,0,0,258,0,0
415,6,4,15.08,1200,503,0,0,474,0,0
416,2,4,6.33,1100,119,0,0,73,0,0
417,3,7,9.66,1200,480,1,0,318,0,0
418,,1,2.5,1200,-38,0,0,-36,0,0
419,2,1,7.91,1200,-1,0,0,-37,0,0
420,,,6.75,1200,-40,0,0,,,
421,7,1,21.66,1200,-70,0,0,-33,0,0
422,3,9,10.33,1200,552,0,0,-28,0,0
423,5,9,15.66,1200,109,0,0,123,0,0
424,6,7,5.66,1100,115,0,0,6,0,0
425,3,5,4.75,1200,-30,0,0,-38,0,0
426,4,2,26,1200,314,0,0,237,0,0
427,6,9,19.16,1200,285,0,0,259,0,0
428,2,1,2.83,1200,-7,1,0,13,1,0
429,6,6,13.58,1200,-66,0,0,-58,0,0
430,,1,1.58,1100,-56,0,0,-64,0,0
431,4,8,7.41,1200,392,0,0,824,0,0
432,6,3,11.08,1100,-112,0,0,-80,0,0
433,,,8.33,1300,-48,0,0,-43,0,0
434,7,6,15.66,1200,784,0,0,1146,0,0
435,,,4.91,1300,-59,0,0,,,
436,7,1,30.08,1200,1818,0,0,672,0,0
437,4,1,3.08,1100,33,0,0,83,0,0
438,,,1.58,1300,-21,0,0,-13,0,0
439,,,17.25,1200,8,0,0,,,
440,4,6,5.91,1200,457,0,0,914,0,0
441,6,3,22.5,1300,-79,0,0,-88,0,0
442,1,2,7.33,1200,138,0,0,,,
443,,,10.83,1100,129,0,0,417,0,0
444,3,6,2.41,1200,-27,0,0,-23,0,0
445,2,4,6,1300,141,0,0,197,0,0
446,7,4,19.83,1300,110,0,0,127,0,0
447,6,7,27.66,1200,107,0,0,-49,0,0
448,,,17,1200,-7,0,0,82,0,0
449,3,5,6.83,1200,94,0,0,80,0,0
450,2,3,3.33,1200,48,0,0,66,0,0
451,4,1,5,1100,-9,0,0,-4,0,0
452,,,10.66,1200,-39,1,0,-35,1,0
453,,,2.08,1200,-32,0,0,,,
454,4,2,14.75,1100,111,0,0,100,0,0
455,5,9,5.25,1300,381,0,0,799,0,0
456,,,1.33,1100,-30,0,0,,,
457,2,6,6.66,1200,-17,0,0,,,
458,7,1,20,1200,30,0,0,106,0,0
459,2,4,8.33,1200,442,1,0,102,0,0
460,7,4,19.33,1300,720,0,0,,,
461,3,8,7,1200,210,0,0,267,0,0
462,,,33.83,1100,-54,0,0,-44,0,0
463,4,6,6.58,1100,-2,0,0,,,
464,6,,4.66,1300,-29,0,0,,,
465,,,3.91,1200,-1,0,0,,,
466,3,1,6.16,1200,-3,0,0,-3,0,0
467,7,6,12,1200,-53,0,0,-54,0,0
468,6,3,10.5,1200,103,0,0,,,
469,3,9,16.33,1200,300,0,0,240,0,0
470,7,9,0.91,1200,146,0,0,108,0,0
471,5,5,28,1200,145,0,0,220,0,0
472,,,9.66,1200,-26,0,0,,,
473,1,6,4.83,1200,58,0,0,,,
474,2,7,5.91,1200,8,0,0,115,1,0
475,,,1.66,1300,380,0,0,,,
476,,,4.33,1300,-119,0,0,,,
477,4,6,2.41,1200,359,0,0,,,
478,6,5,7.33,1200,0,0,0,13,0,0
479,5,6,11.25,1200,-4,1,0,-53,0,0
480,,,1,1200,14,0,0,-7,0,0
481,7,9,10.91,1200,795,0,0,1024,0,0
482,,6,22.33,1200,-21,0,0,179,0,0
483,6,4,6.83,1300,-33,0,0,-36,0,0
484,,,1.75,1200,350,1,0,-22,1,0
485,4,7,7.75,1200,95,1,0,15,1,0
486,,,37.41,1200,677,0,0,,,
487,7,6,7.58,1200,6,0,0,-54,0,0
488,2,1,10.5,1100,-12,0,0,-21,0,0
489,7,7,3.75,1300,-3,0,0,-3,0,0
490,7,3,18.25,1200,61,0,0,,,
491,7,6,19.25,1200,-7,0,0,-18,0,0
492,,,11.33,1200,8,0,0,-27,0,0
493,2,2,1.66,1200,558,0,0,831,0,0
494,,,4.66,1200,194,0,0,102,1,0
495,,,5.83,1200,10,0,0,,,
496,5,6,29.66,1200,96,0,0,216,0,0
497,3,6,10.33,1200,258,0,0,207,0,0
498,4,5,33.5,1300,184,1,0,326,1,0
499,7,1,10.41,1200,-72,0,0,-6,0,0
500,3,6,14.75,1200,827,0,0,1248,0,0
501,,,34.25,1300,785,0,0,670,0,0
502,4,3,30.91,1300,-34,0,0,-105,0,0
503,4,2,0.75,1200,13,0,0,-8,0,0
504,4,6,19.41,1200,-21,0,0,76,0,0
505,,,7.58,1200,-9,0,0,24,0,0
506,3,5,6,1200,127,0,0,109,0,0
507,2,6,2.33,1200,-29,0,0,-17,0,0
508,2,4,9,1200,297,0,0,-8,0,0
509,,,0.5,1300,14,0,0,-33,1,0
510,7,4,13.33,1200,-82,0,0,-77,0,0
511,7,6,7.58,1200,-34,0,0,,,
512,6,5,11.41,1200,99,0,0,111,0,0
513,4,6,4.5,1200,-145,0,0,-124,0,0
514,,,1,1100,-2,0,0,,,
515,3,9,9.75,1200,9,0,0,204,0,0
516,4,8,18.58,1200,76,0,0,43,0,0
517,3,9,33.75,1200,116,0,0,112,0,0
518,,,3.16,1200,116,0,0,,,
519,4,9,11.25,1200,-118,0,0,-124,0,0
520,,,22.83,1200,172,0,0,,,
521,,,5.08,1200,487,0,0,,,
522,2,3,6.33,1200,-22,1,0,1,1,0
523,2,4,4.66,1100,-48,0,0,-73,0,0
524,3,5,4.08,1300,147,0,0,,,
525,5,9,1.66,1200,49,0,0,64,0,0
526,6,6,6.75,1100,610,0,0,712,0,0
527,,,12.83,1200,523,0,0,,,
528,,,4.58,1200,125,1,0,-14,0,0
529,3,6,7.16,1200,205,0,0,,,
530,4,9,3.91,1200,922,0,0,797,0,0
531,2,7,9.66,1200,-78,0,0,-26,0,0
532,6,2,3.33,1300,222,0,0,87,0,0
533,7,2,28.58,1200,37,0,0,-55,0,0
534,,,10.66,1200,-72,0,0,,,
535,,,8.58,1200,63,0,0,408,0,0
536,4,3,6.33,1200,125,0,0,220,0,0
537,6,8,11.5,1200,-148,0,0,-133,1,0
538,,,26.08,1100,1364,0,0,46,0,0
539,,,9.5,1300,-28,0,0,,,
540,,1,6,1200,-35,0,0,40,0,0
541,3,6,13.5,1200,-33,0,0,,,
542,3,8,3.33,1200,17,0,0,-130,0,0
543,7,9,4.91,1200,107,0,0,63,0,0
544,7,9,14.16,1200,236,0,0,291,0,0
545,4,9,5.66,1200,124,0,0,454,0,0
546,2,1,12.25,1100,-31,0,0,-31,0,0
547,,,2.66,1100,-6,0,0,-31,0,0
548,5,6,28.33,1200,-18,0,0,-10,0,0
549,4,5,1.66,1300,-30,0,0,-30,0,0
550,3,8,3.25,1200,-3,0,0,-3,0,0
551,,,22.08,1200,-94,1,0,-86,1,1
552,,,4.66,1200,-32,0,0,43,0,0
553,6,5,6.75,1300,-26,0,0,-31,0,0
554,,,3.66,1200,-56,0,0,-24,0,0
555,,,5.58,1200,-31,0,0,-29,0,0
556,4,6,2.08,1200,257,1,0,-95,1,0
557,7,3,5.08,1100,275,0,0,268,0,0
558,,,4.25,1200,491,0,0,,,
559,2,6,2.33,1200,92,0,0,,,
560,,,16.91,1200,1362,0,0,1162,0,0
561,6,6,3.91,1200,226,0,0,280,0,0
562,4,5,3.66,1100,-58,0,0,-392,0,0
563,,,3.83,1200,377,1,0,,,
564,6,6,33.41,1200,10,0,0,-80,0,0
565,3,5,5.5,1200,-104,0,0,592,0,0
566,6,5,0.66,1200,51,1,1,297,1,0
